Details,Nombre_chambre,nombre_salle_bain,Superficie,Adresse,Prix,image_lien-src
Appartement 2 chambres salon,2,2,150,Ouest foire Dakar,225000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a9484ba4f651d9ecdec8d6a337547916/-/horizon-files-prod/ed/picture/qgqwdjw2/de6c3d515dcfe332fad109b7467688bf44dd0636.jpg
Magnifique appartement à louer à baobab,3,3,200,Sicap baobab Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1bb84041ed889d7a1a5330e95944f6fb/-/horizon-files-prod/ed/picture/qq4279jw/4d7d7675f8e8d77eb932c5de42fd2d603c6af269.jpg
Magnifique Duplex F5 à louer sur Ngor Almadies,4,5,250,Ngor Dakar,1275000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fc8d7cab44618b4c9ed5c53036d18f47/-/horizon-files-prod/ed/picture/qzvpzgdq/2ff1c2678a256ccb0c84bfc8e15ada3c7de37c2f.jpg
Appartement 4 chambres corniche fann résidence,4,6,300,Fann Dakar,3000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/722f47cf8b597933737a09406af6520d/-/horizon-files-prod/ed/picture/qngpg9rm/36d99bdb9ed0a49286b6a35b200c077610b50589.jpg
Studio spacieux à Zac Mbao,1,2,150,Zac Mbao Dakar,150000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/91d74f38315ed727fc9cc4e06f32222f/-/horizon-files-prod/ed/picture/qxjpk5k2/6965e3a5202344853f51f974ed83679ec9cf68bd.jpg
Appartement à louer à Fann résidence sur la corniche,4,4,300,Fann Dakar,3300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cf66e0f7197f1b9e112b734f83382151/-/horizon-files-prod/ed/picture/q8v587j4/7b1e586439cb6d461af97b2ce18fe69f87bc430e.jpg
Superbe penthouse au Virage,4,3,200,Virage Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e9ac1f4f7df6da3b91a6fc5594f2da11/-/horizon-files-prod/ed/picture/qgqwd2nk/cb1bb54662fe6167459a6a223833e21b279c9ee4.jpg
Appartement corniche plateau 2 chambres,2,3,200,Plateau Dakar,2200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6021a7196eb4b744a4dcdb018548c937/-/horizon-files-prod/ed/picture/qngpwgpz/6160b833461c79392390d6db862280b300e532b6.jpg
Appartement à louer 4 chambres point e,4,4,258,Point-e Dakar,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ed5d01268b23d5e0c9e35c1a398705d3/-/horizon-files-prod/ed/picture/q6xd5xzv/294d0dc805c7b9b27b06b41a6922cac385731af1.jpg
Duplex à louer a Fanny résidence,4,3,200,Fann Dakar,2300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bb798b6f84204bcc3755bc50cd3815f7/-/horizon-files-prod/ed/picture/qxjpq6kj/c0caf75e9c802ef9ba8eb7a465d5dc76b738615b.jpg
Superbe appartement à Fann mermoz,3,3,200,Fann Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/104f920b614f48d259946fb4ebbb6688/-/horizon-files-prod/ed/picture/qzvp8drn/9ee96b0a6fbf9d16d0bd092085023b2c51c37f02.jpg
Magnifique studio à louer à mermoz,1,2,90,Mermoz Dakar,275000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ad5628be288c4096191fc1b3281896fd/-/horizon-files-prod/ed/picture/q8v4gmpx/6c34b14ba0969edfc671a12a83e7a062a6f9c348.jpg
Appartement fourni f2,1,2,110,Mamelles Dakar,550000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/68a3c731559ed36f5ebea2e4117ee97f/-/horizon-files-prod/ed/picture/q56dgrq6/aa806130f2c98ef726c0a6870af7cd298b5115b2.jpg
Appartement grand standing à la Cité Cheikh Amar,3,3,150,Mamelles Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c179690f05d06240d774147ffa1bb035/-/horizon-files-prod/ed/picture/qq425m9p/6b40465cac9ff7d49e323eddc1f647d9009356f9.jpg
Luxueux appartement haut standing vue sur mer,3,4,227,Almadies Dakar,2100000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5ed17350ed59b6016ca1c5b09e160817/-/horizon-files-prod/ed/picture/q9mjgkwp/fae200e349a79a756b6cfbbb64f3eb04b3ce1b56.jpg
Appartement à louer a Mermoz sotrack,3,3,180,Mermoz Dakar,875000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c8d6f590ff84bb634f94abd5d602af6/-/horizon-files-prod/ed/picture/qde7n4z7/31c577ca5b2c1bac403330a3160104bb5b805ee1.jpg
Splendide appartement à louer a la Cité Assemblée,2,3,150,Ouakam Dakar,450000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4acb7b26623ae4e53e6537b8eb237bae/-/horizon-files-prod/ed/picture/q44npmrp/34d64f9529eb7e934c5a323d7312b7ceecd5db37.jpg
