Details,Nombre_chambre,nombre_salle_bain,Superficie,Adresse,Prix,image_lien-src
Appartement f4 neuf à louer sur la Vdn,3,3,160,VDN Dakar,450000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bf0284109fb96798819af0e7cc9cce04/-/horizon-files-prod/ed/picture/qwepnz46/7196fc5b7bb89a7b60a4ad3e3e94166617afab4a.jpg
DAKAR POINT-E : Appartement à Louer - F4 - 204 m2,3,4,204,Point-e Dakar,1350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/111b0f52fc995376536e9baab4b7e923/-/horizon-files-prod/ed/picture/q8v4d40n/2e5a6c37359cf263e60b3ce1665686a7ac216476.jpg
Ref_2727_PL Appartement à louer aux Almadies,3,3,150,Almadies Dakar,2200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3db1e4f87a2524b8762004164516957f/-/horizon-files-prod/ed/picture/qq42v0kk/fffdd18c393f18cead935469f82b81b99cdbfcf1.jpg
Appartement à louer à Kounoune,5,2,150,Kounoune Dakar,150000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1e548bf57feb2212098afbcde8174e8e/-/horizon-files-prod/ed/picture/qj4qzj7e/61363798d4ed24fdfe936386f9c7a68c40578500.jpg
Appartement à louer à Fann,3,3,200,Fann Dakar,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5cc0ddfafe982083cd05f9bf852efa4b/-/horizon-files-prod/ed/picture/q8v4dr2p/8eceb8bd53957221826a10643e7d8e6a9adaf00f.jpg
Résidence Dima F5 HAUT Standing,3,3,210,Yoff Dakar,900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f080703a10ad2d44656f5016afb0e79c/-/horizon-files-prod/ed/picture/qpdm2pq4/fc8536849b83024fa13a1887c85f5f5ac204cc35.jpg
Ref_2729_GLAppartements haut standing à louer - Haut Plateau,3,3,285,Plateau Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/70f127fc153eea93c3cfb85ae151ab61/-/horizon-files-prod/ed/picture/qq42vj7z/30e482f14f326947c0253ca7f3710fc49e3c7ca7.jpg
Appartement au RDC à mariste,3,3,150,Hann maristes Dakar,450000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4dc61a3a90ecbb3be4caa851a409886f/-/horizon-files-prod/ed/picture/q2j0deqv/a6ac79b69b549c86ecdcfe61b7a4f6995fc1ae05.jpg
Joli appartement à louer à ngor Almadies,3,3,160,Almadies Dakar,650000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0c5d9ea50a7c6163f370ac6d3be510df/-/horizon-files-prod/ed/picture/qenvvej5/8f557ad16e053b6ea32fb990a3d6a9849eccc933.jpg
Appartements de standing à louer dans le haut plateau,3,3,285,Plateau Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a73b482d1296c96716ecafc0bf709d6a/-/horizon-files-prod/ed/picture/qm5g4xrd/a868a1ee8d1ceddf95541ccb27e29132454aaf55.jpg
Appartement de standing à louer aux Almadies,3,3,150,Almadies Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1b6ed8ac1f6c2e6d011f69f70a7c7294/-/horizon-files-prod/ed/picture/qzvp6nzx/7a3161ab870faea2fbf75a926eb2e1b9da2c35dc.jpg
Appartement à louer au virage,3,3,150,Virage Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c55059280030b72996be07df25fa9927/-/horizon-files-prod/ed/picture/q78wmepm/6b0524aa6229969730d82d3e313075a9e7655daf.jpg
Location journée -Appartement F2 - Baobab,1,1,150,Sicap baobab Dakar,30000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4d431604041bc4ff5d0df520fe3134b5/-/horizon-files-prod/ed/picture/qm5g4xnm/cba4d40e992ada3282dd689d8097d6c251d5f85a.jpg
Appartement 3 chambres salon (RDC) derrière EDK Almadies,3,4,150,Almadies Dakar,750000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3180b6042f84a41566afdaa15d49fee4/-/horizon-files-prod/ed/picture/qxjpz0vj/621e4c5d637f4ce6bcec9b614f5f5e99c8200137.jpg
Superbes F3 à Louer aux Almadies,3,3,150,Almadies Dakar,750000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/11d16a7a751cd886018f136ec3af0d65/-/horizon-files-prod/ed/picture/qrzvpq05/c0a19af2f404b13fe788d81c45daaaaededade6c.jpg
Appartement neuf sur la vdn 3 plage malibu,2,2,150,Guediawaye Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/817fe62f58102804375a571dcf58e373/-/horizon-files-prod/ed/picture/qv4wxg8x/615db9ce9d0336b32b4900a2092b970b7fbaf631.jpg
Mini studios neuf a loué a malibu plage vdn 3,1,1,40,Golf Dakar,125000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cd8738987c8ba083e94a4594392ac0e7/-/horizon-files-prod/ed/picture/qrz80g7m/5d7e931678b2de6d6f9b0a1ae831366c8a18a083.jpg
Joli appartement F4 à Mermoz proche Stèle et corniche,3,3,170,Mermoz Dakar,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/754a480398e9d72e6071ca3a46d9483c/-/horizon-files-prod/ed/picture/qwep8kdj/0c2cb9402f1efe17dc3e80c7222f22b20133598b.jpg
Magnifique F3 face à la mer sur la Corniche Est Plateau,2,3,140,Plateau Dakar,2200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ad2055823ad689252e5df796b1d1c42b/-/horizon-files-prod/ed/picture/qq47gkvn/7b68f86706df59177ab5666bb4387c4be3144e18.jpg
Appartement F3 à louer à Fann résidence,3,2,150,Fann Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e7c80e205e0beb89745fbb11fbf85f71/-/horizon-files-prod/ed/picture/q78wmkrz/bd31615d87f58c9180c522138b714ebe0fbf95a8.jpg
Bel appartement F3 sur la corniche almadies,2,3,80,Almadies Dakar,900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3a03131acec2d649f62aee7ddd5f43e9/-/horizon-files-prod/ed/picture/q9mjg027/280996842a4e119a0dae17ed58ad8761c2627490.jpg
Un immeuble 10 appartement à louer,35,3,500,Almadies Dakar,12000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/73ed728e0f2967dbb5344a0aae17e9b0/-/horizon-files-prod/ed/picture/q56dgn9p/549ae6a72ccabd8b6fba731ee11f3cbe76ec66f3.jpg
F3 tres accessible à louer à Zac Mbao,3,3,150,Zac Mbao Dakar,150000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/066dc9b706acdd520cd2608eaf108c48/-/horizon-files-prod/ed/picture/qpdm7kpq/c5f7440553f5f49a47be5254495a0fe342772012.jpg
Appartement ( villa ) à louer au virage !,3,2,240,Virage Dakar,650000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d3605f59a6c062728722a797c74bec03/-/horizon-files-prod/ed/picture/q44nmej5/64cd766af5e0840b7533e5d4ae5d1ba61ce5da4b.jpg
2 appartements à louer à Ngor Almadies,2,3,150,Ngor Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c6eb1b5a2c12e2e2277306a6e14a3166/-/horizon-files-prod/ed/picture/qzvp6gv9/346792925247a29475e72b36512861fa42f05a53.jpg
APPARTEMENT F4 VUE SUR MER AUX ALMADIES,3,4,226,Almadies Dakar,1400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d0532904a43674a454d7ff4aad71bb42/-/horizon-files-prod/ed/picture/q2jqw64g/b9d6fb97dcb467b6c8fc5b734c3f1e767681e6cc.jpg
Appartement neuf a sipres marietou bayakh,3,4,150,Bayakh Dakar,150000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/daafc7036bf5a613a9062c22b58fa17f/-/horizon-files-prod/ed/picture/qzvpx86k/1aa37db365157dcd8f0ef2c20b36f3b1e5b72194.jpg
Appartement Pen house à louer Fann Résidence,3,1,150,Fann Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a653aec50134aa5f542060f8059f7301/-/horizon-files-prod/ed/picture/qgqw09p0/36cb1529110bf2eb7301b6ee439766aa8177c5b4.jpg
Très belle villa aux mamelles,5,3,300,Mamelles Dakar,1700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8f82c3c3d99b71d1fcb3cfd1a68d3ae9/-/horizon-files-prod/ed/picture/q44nme0v/a0dbc8df5960436fb0363efc67d74e2ebac0b2e8.jpg
APPARTEMENTS NEUF NGOR ALMADIES,3,3,150,Almadies Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/61524d1d6e5cff60d87e727f91c6e8f0/-/horizon-files-prod/ed/picture/q6xdz9wn/e8a0c4765136e32f11a13a5e336171355ed86367.jpg
Appartements 2 chambres salon derrière EDK Almadies,2,3,94,Almadies Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/33c4293050c590a65b4b6e58dab155dc/-/horizon-files-prod/ed/picture/qm5g487m/fde0d8d945b815194cf0b164b1db3b3ea7ef8301.jpg
Penthouse duplex (6e et 7e étages ) derrière EDK Almadies,5,6,500,Almadies Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c7442db396cf47471074e0a22cde41e/-/horizon-files-prod/ed/picture/q44nme9z/c8faed27d1dd32b7bfe71dfa8454494c8fadfa87.jpg
Appartement à louer à fann mermoz,3,2,180,Fann Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/81dbcd0c472e607f1b0ba5d51159ddf4/-/horizon-files-prod/ed/picture/qxjpkkej/dd90bfa6a3042b9af4b6f37092fad50e63cc4e5d.jpg
Duplex neuf a ngor almadies,3,5,240,Almadies Dakar,1900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/61d2210170aa95b6fabeb62c655e669f/-/horizon-files-prod/ed/picture/qgqwj52n/cb3943f0840427ffc3218cb8bcd903932313cf00.jpg
Appartement avec vue sur mer a loué corniche mamelles,3,4,240,Mamelles Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a8da777fb6a3b7e7e64addeff164aae8/-/horizon-files-prod/ed/picture/q2j0njzj/48e9455e95bd64fcf63c6de36e35daecd2abb365.jpg
Appartement a loué a patte doie builders,2,2,100,Patte d‘oie Dakar,280000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7b7b90e315673065004ce83153a5d0e4/-/horizon-files-prod/ed/picture/qzvp5v28/3d03e0acad64df54feda5b367ecbb55de8d999a8.jpg
Appartement à louer aux almadies,3,3,150,Almadies Dakar,900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ca7b6e8aa5297d228ebca1a112207ff9/-/horizon-files-prod/ed/picture/qrz85rk4/a82d04b222c229b98b68ee355c404ae0bf513092.jpg
Bel appartement F4 au Virage,3,4,180,Virage Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5ecc7bf60baba8d8cc7423f7e12de38/-/horizon-files-prod/ed/picture/qdekzz50/287e9ca68895d99e138dfbfc80e1827ac3e91730.jpg
Appartement 2 chambres salon neuf aux Almadies,2,2,110,Almadies Dakar,900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cf8eafd6bb5ba2d05bb42643640576ae/-/horizon-files-prod/ed/picture/q44nq4r5/d340ad44bacccd0e33ed89468532755b7db0bfac.jpg
Appartement à louer,3,2,150,Sicap foire Dakar,450000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/92344a7af368808571b74ea7127d6d95/-/horizon-files-prod/ed/picture/qde76qn5/13fc0265baa96f796e97f799a820d638f62b9b65.jpg
STUDIO A LOUER,1,2,100,VDN Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4618662e6a451eaea640c0f430d347be/-/horizon-files-prod/ed/picture/q0g7027w/a54d4802f5f1ebe6d5fd48cdad9e53a3a64d1b2a.jpg
4 chambres salon à louer à fan résidence radisson,4,5,250,Fann Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4103de765478f40442e16d8f6280c140/-/horizon-files-prod/ed/picture/qwep5zpg/ca17dc1ab72f22e2eb7c91ab88ce8f54a068f134.jpg
"Appartement à louer à la Résidence de Liberté 6 ""les Dunes""",3,3,150,Liberte 6 Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d7a24a97cb6320766171fde833a41d76/-/horizon-files-prod/ed/picture/q44nqdne/ab6b8f66a0b6c3b57dac6f6a7101b4e8e6afe094.jpg
Ref_7182_SEY Local commercial/mezzanine à louer aux Maristes,3,3,170,Hann maristes Dakar,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e4540fdf5d5db107574f84bdbe28132b/-/horizon-files-prod/ed/picture/q8v4xz6x/394700216f55c57e61cd89d692044dbdacf43ae5.jpg
Ref_2730_SEY Appartements pour bureau à louer aux Maristes,2,1,150,Hann maristes Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/493854a819ee60465412da64958b7db4/-/horizon-files-prod/ed/picture/qngpndmw/ad1f2b2eec0a4c887b0b9b9103d20e4a2c42bef5.jpg
Joli appartement f3 à mermoz,2,1,150,Mermoz Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0a10ff88aff9318c5a2913582536a20e/-/horizon-files-prod/ed/picture/q8v4x5vz/2c507ed567f470b693bda4d10691186858e578a5.jpg
Joli appart F4 a louer à sipres 1 vdn,3,3,135,Sicap foire Dakar,370000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/40eb67e8a82d2db6fba5e392757439d1/-/horizon-files-prod/ed/picture/q2j0nr4p/5fdc84c932dd4b4aaefd98951471a97cb7befd26.jpg
Ref_2731_JN Des appartements type F4 à louer à Mermoz,3,1,150,Mermoz Dakar,850000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aabb0762dfa3f4f5cd18e80c7654b325/-/horizon-files-prod/ed/picture/q9mj698p/db357ed9eddf56cde925f87a96158f294bb93cea.jpg
Bel apartement f4 à louer à Mermoz,3,3,150,Mermoz Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ef1dbf47fd08338a3f34b340cde9dc41/-/horizon-files-prod/ed/picture/q56d8xd2/fdb2d24109a0be66dc241158a8f4296fd9a46185.jpg
DUPLEX F5 AUX MAMELLES,4,3,150,Mamelles Dakar,650000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d5c52a850671a0cea0556dc37bb54608/-/horizon-files-prod/ed/picture/qzvp62nn/80c1fecc8acd463fd7a8832d7d32c1552a5e7cef.jpg
F2 à louer - Fann,1,1,55,Fann Dakar,650000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8afb2c5c63401749ce762e61fbd324c4/-/horizon-files-prod/ed/picture/qj4q7rrz/6d5af0a93fb2c9e27e9b8d76349ba3c965acedfb.jpg
APPARTEMENT À LOUER OUAKAM,3,2,150,Ouakam Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b4d1e4b16a4fe8196ccc86003f4f3ad/-/horizon-files-prod/ed/picture/qv4w5egk/afde048777525945092fbec7400722932d197979.jpg
Appartement à louer aux Maristes,3,2,100,Hann maristes Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e6534826a96183640f08c23e70f99837/-/horizon-files-prod/ed/picture/qq4287v7/1775ba0be6a13ebd74437beaa85c8245db24d11f.jpg
Duplex tout neuf mamelles cité Touba Renaissance,4,5,300,Mamelles Dakar,900000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/05c9ce5de2a2a1eba56cf0b2e947bb67/-/horizon-files-prod/ed/picture/qv4wqn42/6443993243aa084c9ea483e2fa19e32e2ac233c7.jpg
Appartement et studio à louer,3,3,150,Keur Massar Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2fee2d23cacec8902ad8af3beda20496/-/horizon-files-prod/ed/picture/qpdmq69w/e47ef6ef3b8661336b40a68d03e7552ab9f992dc.jpg
Appartement 1 chambre à Ouakam (Mermoz),1,1,60,Mermoz Dakar,1050000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/40f27cb70d81dccc144f3635e3ae07f0/-/horizon-files-prod/ed/picture/q6xd4k4p/6cedaf4ee137b09d19f685ff886db029291329f3.jpg
Appartement corniche fan résidence à louer,3,3,180,Fann Dakar,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b40b62d02b5e6b1083ecb0a6380019b/-/horizon-files-prod/ed/picture/qngpnpxv/0c43c2fa3e0f552295ce84f13ed6e67781cd452c.jpg
Apparemment à louer à fan résidence club olympique,2,3,180,Fann Dakar,1700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1205ab56990f85a94d4d02d086569063/-/horizon-files-prod/ed/picture/q44nqn0p/476315c560b070db9384afafdf204e78b1770334.jpg
f4 de standing hangar pelerin,3,3,150,Yoff Dakar,650000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aed1792f0aae0eb5146b029c3b906dfc/-/horizon-files-prod/ed/picture/qxjpq8q8/78547744854242577382fce38a3746cfdac4d772.jpg
F4 A LOUER A USAGE D'HABITATION OU COMMERCIAL,3,3,150,Cité keur gorgui Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aebe5c1aaa78dc9aa5f59ef3356ad35c/-/horizon-files-prod/ed/picture/q9mjd0d0/ab85025deca03c8c58fb5ee579d89694cfdf77a1.jpg
F5 (4e Etage) A LOUER SUR LA CORNICHE DES MAMELLES,3,3,150,Mamelles Dakar,3800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e4be47710752366f5184a12359dee8c3/-/horizon-files-prod/ed/picture/q9m97z75/39d8008bcc74678dbe6b26a9c68b9fe23de2b187.jpg
F4 A LOUER AUX MAMELLES,3,3,150,Mamelles Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7f013eda5c8f2c8f42c80c43b8dbc8b5/-/horizon-files-prod/ed/picture/q6xd54nj/d8c0f5c1c8b7bfa04dc97223bd9c94311fba6d79.jpg
APPARTEMENT F4 A LOUER AU POINT E,3,3,150,Point-e Dakar,1200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a58502a1a28ea51122dc91b4e35dc231/-/horizon-files-prod/ed/picture/qj4q5p48/4a34d3b78a9f96c0e4a55c0c2523e0de1ff9e9c2.jpg
Appartement à louer à Fann Résidence,3,4,150,Fann Dakar,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f42f67a24fc6d2bee7a02929a160dd01/-/horizon-files-prod/ed/picture/qpdmqmr0/7c2cd3701fb1eae81b9e82eccf7859242c0cdf68.jpg
STUDIOS AUX MAMELLES,1,2,150,Mamelles Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/17bb25493b03510623f3cff4048fae9a/-/horizon-files-prod/ed/picture/qq4287k7/67685812895f4ee94e4acc1a4b40bb0f7fc871d1.jpg
APPARTEMENTS À LOUER AUX MAMELLES,2,2,150,Mamelles Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/98cb9a1c73698a378ddfb2b6e8638aa3/-/horizon-files-prod/ed/picture/qwep525z/ff4660d591ff72a6a4036a57343c539c4b089bd3.jpg
APPARTEMENT F5 À LOUER OUAKAM,4,3,150,Ouakam Dakar,375000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/26a2cc6c57831d7ffbc87e3dbbe04120/-/horizon-files-prod/ed/picture/qrz84v6x/07b8dbbd592703ccec2c4064d281da54ac54c144.jpg
F4 vue sur mer à louer à Fann,3,4,145,Almadies Dakar,1400000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c6fc3468bd7c8076aa8ff35371d67954/-/horizon-files-prod/ed/picture/qxjpejq0/86802d130884dbe4d8e066d8013e39ca78860619.jpg
Apt F4 sacre cœur 1,4,3,130,Sacré-cœur Dakar,750000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/be21bb176ca0375b2e72f3de6fa181e0/-/horizon-files-prod/ed/picture/qenvx8q6/3a3966afab9fd0f6d064f221c3da20b8c0698291.png
Ref_2726_SEY Appartement à louer au virage,4,3,150,Virage Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/64d59ca6b46a442311a9ed2ea0604bc0/-/horizon-files-prod/ed/picture/qj4qwerr/5df51d6303bca711c77bd426d8dff0ece9bc5a41.jpg
Ref_2710_JN Appartements F4 à louer à Fann Résidence,3,3,150,Fann Dakar,2300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/76c57a877d29a16bae055948236db793/-/horizon-files-prod/ed/picture/qngp22rz/64b3aac5911dc1a75a57c2af2f83022e33c7d27d.jpg
Appartement 4 chambres à louer aux Almadies,4,6,250,Almadies Dakar,2800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/420b6ae23c18f216081ed2678875b992/-/horizon-files-prod/ed/picture/qngpn9vz/2d487c3fa6a9ee2e73c48386fd136913d6baabd7.jpg
Appartement à louer à fan résidence,3,5,220,Fann Dakar,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a9982b795a4322c6ea08a40c29c0b832/-/horizon-files-prod/ed/picture/qde7j98m/2edadc10f0a6a160086e9d1ecc417a7c64d112bd.jpg
STUDIOS MERMOZ BATRAIN,1,2,150,Mermoz Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6ecd2046962611a0dbfb610bcc578db5/-/horizon-files-prod/ed/picture/qxjpeggq/c945f6ed6339182d54620d11b0814da18ed2155e.jpg
APPARTEMENTS F3 AUX ALMADIES,2,2,150,Almadies Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c36b6af34e2789fb12f59a3d274f728e/-/horizon-files-prod/ed/picture/qrz84rpn/b9732d0b3c74b072541ba7ad87414da10d9a86f7.jpg
APPARTEMENT F5 A LOUER MERMOZ,4,5,150,Mermoz Dakar,700000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4f5b85433053dd40b829fa4f56f698cb/-/horizon-files-prod/ed/picture/q2j0dpqq/ce7fdb2f6a27ebbe20bf412cd700bf3191982dcb.jpg
APPARTEMENTS À LOUER MERMOZ,3,4,150,Mermoz Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3b7f111096d7e33faede6b4900eef9a5/-/horizon-files-prod/ed/picture/qpdmj92v/f2eedf539a2a125ecbc109b19d7a50ea49dfd4de.jpg
APPARTEMENT À LOUER NGOR ALMADIES,2,3,150,Almadies Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d0690aeeadb2c245084c07578d129d9d/-/horizon-files-prod/ed/picture/q44nm06m/f26776a6dc67804664af20bada48e0fbbcc817e5.jpg
APPARTEMENT À LOUER TOUBA OUAKAM,3,3,150,Ouakam Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b4ae9071a7a158ce663fd584e0c43917/-/horizon-files-prod/ed/picture/qwep5gn6/e04e68a4d21258c7fc383d390853b5ad85cb2b6f.jpg
Appartement 3 chambres salon grand standing au Point E,3,5,216,Point-e Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/397e7ea4daabcb890c93ff99db89249a/-/horizon-files-prod/ed/picture/qgqw08n2/9fd306c914a6a1516d72f56fd61ba6835b310301.jpg
SUPERBE F4 - RÉSIDENCE OCEAN DRIVE,3,3,150,Mermoz Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/45a5fcc4f31225495d98f99daa31d003/-/horizon-files-prod/ed/picture/q0g75vrj/eceddec36b2e3932b9f1be5a995d61c2a4fe827b.jpg
Appartement aux mamelles au 1er étage,3,3,165,Mamelles Dakar,730000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8178babbfa7931343fbed5b33f4c5d7e/-/horizon-files-prod/ed/picture/qzvp5zwg/0da27f8612ebb779bee096c0829c30cc1ab973d3.jpg
Appartement F4 dans un immeuble tout neuf,3,3,150,Amitié Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/da33a240cc354fcf8a1aabe8d78114fa/-/horizon-files-prod/ed/picture/qq42v9ev/89beca7dca818872fc1b973565bed53bc09ec6f1.jpg
Ref_2725_SEY Appartement à louer au virage,3,3,150,Virage Dakar,1200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c23aabd6caa6aa17515ecaaba379b081/-/horizon-files-prod/ed/picture/qv4wq6p5/ff9980d02df3db284863628079d95b361ce5c7cb.jpg
Appartement à louer de 2 chambres et salon a la cité batrain,2,3,120,Ouakam Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/061abd5a0121fd56975da42c4468d497/-/horizon-files-prod/ed/picture/qq428we4/017720ac000d57db8f63cab7f93d987183cd78b4.jpg
Des appartements neufs à louer à Ouakam,3,3,150,Cité asecna Dakar,550000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/28e6e46f95b310b02e2b5a63e9a762b5/-/horizon-files-prod/ed/picture/qpdmqj7r/eeafbe53daab6a42a4e481d7331ade0d5219583d.jpg
Superbe appartement neuf avec Vue mer au Haut Plateau,3,3,300,Plateau Dakar,2800000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/88dffd9883a9c34600da3bfab50aba50/-/horizon-files-prod/ed/picture/qkr8vxvv/12d62cdfde06900f632605cf52f55a9899f01d23.jpg
Appartement Corniche Est Plateau,2,2,90,Plateau Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/39af3605854b0a688187c922d1b63cd1/-/horizon-files-prod/ed/picture/qv4w5kv5/1d018811908cb1b5d9b0f94be9208b67af06920e.jpg
Appartement neuf à louer sur l'avenue blaise Diagne,2,2,110,Médina Dakar,550000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8f6b70fed0e1341a35b9e1b2b2e1ced5/-/horizon-files-prod/ed/picture/q9mj6nzx/528407680d4c99cad665e0f80c2519fa51a0a3c4.jpg
BEL F4 A LOUER AUX ALMADIES,3,3,150,Almadies Dakar,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/384561abb3673eb1ab988673f31176a5/-/horizon-files-prod/ed/picture/qrzvp2w4/c79c9d2020c919928ff7bb55a9030e00be86a846.jpg
F4 EN DUPLEX A LOUER AUX ALMADIES,3,3,150,Almadies Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e0762c0049c582e365c9a42ddf790ae7/-/horizon-files-prod/ed/picture/qzvp5d2d/7feabcee1444e252a4acaa7f1fa3e5b68e24c6ee.jpg
F4 RDC A LOUER AUX ALMADIES ROUTE DU KING FAHD,3,3,150,Almadies Dakar,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/73c6337713f19a99a5458f263cef0825/-/horizon-files-prod/ed/picture/q8v4przn/772c55dfdbb4762201d4b7eaabba48e5e8d10af3.jpg
Appartement meublé à louer pour 2 jours minimum,1,1,150,Ouest foire Dakar,15000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cc4acda0cac548cf150a90890acfce43/-/horizon-files-prod/ed/picture/qenv298k/1ffbe3a244185a71c7629cd01777f5a514014699.jpg
APPARTEMENTS À LOUER MERMOZ BATRAIN,2,3,150,Mermoz Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c37d95a6afee40c722c518b28b751ec7/-/horizon-files-prod/ed/picture/qj4q7ppd/9b6d689c8faf51d8035dd98ca1209d95bba78090.jpg
"Studio 1 chambre salon Au Mariste, 4e étage",1,2,150,Hann maristes Dakar,175000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7615188bbfebfa580da4639e9e283186/-/horizon-files-prod/ed/picture/qzvpd0wq/17380efbc7024cd6b2b539b6a00e870d66fa5396.jpg
